Clave,Unidad,Nombre del producto,Cantidad,Precio de Compra,Precio de Venta,Reserva,Precios de venta adicionales (opcional),Información Adicional,Categoría
271,-,*BONA BOCADITO RHUM-,9999,0.00,0.00,1,,,BONAFIDE
272,-,"CACHAFAZ ALFAJOR X12 NEGRO ",9999,14851.80,16502.00,1,,,CACHAFAZ
273,-,CACHAFAZ ALFAJOR X12 BLANCO,9999,14851.80,16502.00,1,,,CACHAFAZ
274,-,CACHAFAZ ALFAJOR X12 MAICENA,9999,14851.80,16502.00,1,,,CACHAFAZ
275,-,CACHAFAZ ALFAJOR X12 MOUSSE,9999,14851.80,16502.00,1,,,CACHAFAZ
276,-,CACHAFAZ CONITO X12U.,9999,13383.00,14870.00,1,,,CACHAFAZ
277,-,"CACHAFAZ MARROC X54 U ",9999,29783.70,33093.00,1,,,CACHAFAZ
278,-,CACHAFAZ GALLETA ALGARROBA,9999,1438.20,1598.00,1,,,CACHAFAZ
279,-,"CACHAFAZ GALLETA AVE/CHIP ",9999,1881.00,2090.00,1,,,CACHAFAZ
280,-,CACHAFAZ GALLETA AVE/PASAS,9999,1438.20,1598.00,1,,,CACHAFAZ
281,-,CACHAFAZ GALLETA GRANOLA,9999,1683.00,1870.00,1,,,CACHAFAZ
282,-,*CADBURY INTENSE X24GR,9999,0.00,0.00,1,,,CADBURY
283,-,"*AZUCAR CAMPO BLANCO X 10 ",9999,675.00,750.00,1,,,CAMPO BLANCO
284,-,CAPITAN NEGRO X36,9999,693.00,770.00,1,,,CAPITAN
285,-,CAPITAN BLANCO X36,9999,693.00,770.00,1,,,CAPITAN
286,-,CAPITAN TRIPLE X3 x24,9999,1085.40,1206.00,1,,,CAPITAN
287,-,"CAPITAN FRUTA ",9999,0.00,0.00,1,,,CAPITAN
288,-,CAPULLITOS CAÑITOS X80GS.,9999,288.00,320.00,1,,,CAPULLITO
