id,nombre,costo,precio_venta
192,*MOGUL MORAS X500 GRS-,4228.2,4698.0
193,*MOGUL MORAS X150 GRS-,0.0,0.0
194,*MOGUL FRUTILLAS ACIDAS X150 GRS-,0.0,0.0
195,*MOGUL SANDIA X500 GRS-,4228.2,4698.0
196,*MOGUL FRUTILLAS ACIDAS X500 GRS-,4228.2,4698.0
197,*AGUILA BARRA X150 GRS-,3555.0,3950.0
198,*AGUILA BARRA X100 GRS -,2791.8,3102.0
199,*AGUILA BARRA 14X24 GRS-,12775.5,14195.0
200,*AGUILA BARRA 60% CACAO 14X24 GRS-,12775.5,14195.0
201,*ARC CEREAL MIX X20 CLASICO-,8964.0,9960.0
202,*ARC CEREAL MIX X20 FLLA/CHOCOLATE-,8964.0,9960.0
203,*ARC CEREAL MIX X20 FRUTILLA-,8964.0,9960.0
204,*ARC CEREAL MIX X20 FRUTILLA LIGHT-,8964.0,9960.0
205,*ARC CEREAL MIX X20 MANZANA-,8964.0,9960.0
206,*ARC CEREAL MIX PASION CHOCOLATE X20 U-,8964.0,9960.0
207,*ARC CEREAL MIX CHOCOLATE X20 U-,8964.0,9960.0
208,*MOGUL PALOTES EXTEME UVA X70 U -,5137.2,5708.0
209,*MOGUL PALOTES EXTREME SANDIA X70 U-,5137.2,5708.0
210,*MOGUL PALOTES EXTREME TUTI X70 U-,5137.2,5708.0
211,*ARC MOGUL EXTREME ROCK X10U.-,5645.7,6273.0
212,*ARC MOGUL EXTREME SANDIA X10-,5645.7,6273.0
213,*ARC MOGUL OSITO EXTREME X1OU.-,5645.7,6273.0
214,*MOGUL JELLY BEANS X10,5645.7,6273.0
215,*MOGUL DIENTES X50GR X10 UN ,5645.7,6273.0
216,*MOGUL MORAS X 50GR X10UN,5645.7,6273.0
217,*ARC MOGUL CEREBRITO X12-,3991.5,4435.0
218,*ARC MOGUL DINOS X12U-,3991.5,4435.0
219,*ARC MOGUL FRUTAL 10X60-,3991.5,4435.0
220,*ARC MOGUL OSITOS   X12U-,3991.5,4435.0
221,*ARC MOGUL PIECITOS X12U-,3991.5,4435.0
222,*ARC MOGUL TIBURON  X12U-,3991.5,4435.0
223,*ARC MOGUL VIBORITA X12U-,4885.2,5428.0
224,*ARC MOGUL ROLLO X12 EXTREME-,3746.7,4163.0
225,*ARC ROLLO MOGUL X12-,3746.7,4163.0
226,*ARC CHUPETIN ARQUITO X50U-,3674.7,4083.0
227,*MOGUL TUBITOS X16 U-,4724.1,5249.0
228,*ARC POPS EVOL EXTREME X24u.-,2965.5,3295.0
229,*ARC POPS EVOLU X24 P/LENGUA-,2965.5,3295.0
230,*ARC POPS EVOLU X24 SURTIDO-,2965.5,3295.0
